pv_gene_id,pf_gene_id
PVP01_0211900,PF3D7_0102800
PVP01_0211800,PF3D7_0102900
PVP01_0211700,PF3D7_0103000
PVP01_0211600,PF3D7_0103100
PVP01_0211500,PF3D7_0103200
PVP01_0211400,PF3D7_0103300
PVP01_0211300,PF3D7_0103400
PVP01_0211200,PF3D7_0103500
PVP01_0211100,PF3D7_0103600
PVP01_0211000,PF3D7_0103700
PVP01_0210900,PF3D7_0103800
PVP01_0210800,PF3D7_0103900
PVP01_0210700,PF3D7_0104000
PVP01_0210600,PF3D7_0104100
PVP01_0210500,PF3D7_0104200
PVP01_0210400,PF3D7_0104300
PVP01_0210300,PF3D7_0104400
PVP01_0210200,PF3D7_0104500
PVP01_0210100,PF3D7_0104600
PVP01_0210000,PF3D7_0104700
PVP01_0209900,PF3D7_0104800
PVP01_0209700,PF3D7_0105100
PVP01_0209600,PF3D7_0105200
PVP01_0209500,PF3D7_0105300
PVP01_0209300,PF3D7_0105500
PVP01_0209200,PF3D7_0105600
PVP01_0208900,PF3D7_0105900
PVP01_0208800,PF3D7_0106000
PVP01_0208700,PF3D7_0106100
PVP01_0208600,PF3D7_0106200
PVP01_0208400,PF3D7_0106400
PVP01_0208100,PF3D7_0106700
PVP01_0208000,PF3D7_0106800
PVP01_0207900,PF3D7_0106900
PVP01_0207700,PF3D7_0107100
PVP01_0207600,PF3D7_0107200
PVP01_0207500,PF3D7_0107400
PVP01_0207400,PF3D7_0107500
PVP01_0207200,PF3D7_0107700
PVP01_0207100,PF3D7_0107800
PVP01_0207000,PF3D7_0107900
PVP01_0206900,PF3D7_0108000
PVP01_0206800,PF3D7_0108100
PVP01_0206600,PF3D7_0108400
PVP01_1456000,PF3D7_0108500
PVP01_0206400,PF3D7_0108600
PVP01_0206200,PF3D7_0108800
PVP01_0206100,PF3D7_0109000
PVP01_0205900,PF3D7_0109200
PVP01_0205800,PF3D7_0109300
PVP01_0205700,PF3D7_0109400
PVP01_0205600,PF3D7_0109500
PVP01_0205500,PF3D7_0109600
