Pf_geneID	Po_geneID
PF3D7_0102700	PocGH01_00103400
PF3D7_0102800	PocGH01_02019100
PF3D7_0102900	PocGH01_02019000
PF3D7_0103000	PocGH01_02018900
PF3D7_0103100	PocGH01_02018800
PF3D7_0103200	PocGH01_02018700
PF3D7_0103300	PocGH01_02018600
PF3D7_0103400	PocGH01_02018500
PF3D7_0103500	PocGH01_02018400
PF3D7_0103700	PocGH01_02018200
PF3D7_0103800	PocGH01_02018100
PF3D7_0103900	PocGH01_00190300
PF3D7_0104000	PocGH01_02017900
PF3D7_0104100	PocGH01_02017800
PF3D7_0104200	PocGH01_02017700
PF3D7_0104400	PocGH01_02017500
PF3D7_0104500	PocGH01_02017400
PF3D7_0104600	PocGH01_02017300
PF3D7_0104700	PocGH01_02017200
PF3D7_0104800	PocGH01_02017100
PF3D7_0105100	PocGH01_02016900
PF3D7_0105200	PocGH01_02016800
PF3D7_0105300	PocGH01_02016700
PF3D7_0105400	PocGH01_02016600
PF3D7_0105500	PocGH01_02016500
PF3D7_0105600	PocGH01_02016400
PF3D7_0105900	PocGH01_02016100
PF3D7_0106000	PocGH01_02016000
PF3D7_0106100	PocGH01_02015900
PF3D7_0106200	PocGH01_02015800
PF3D7_0106400	PocGH01_02015600
PF3D7_0106700	PocGH01_02015300
PF3D7_0106800	PocGH01_02015200
PF3D7_0106900	PocGH01_02015100
PF3D7_0107000	PocGH01_02015000
PF3D7_0107100	PocGH01_02014900
PF3D7_0107200	PocGH01_02014800
PF3D7_0107400	PocGH01_02014700
PF3D7_0107500	PocGH01_02014600
PF3D7_0107700	PocGH01_02014400
PF3D7_0107800	PocGH01_02014300
PF3D7_0107900	PocGH01_02014200
PF3D7_0108000	PocGH01_02014100
PF3D7_0108100	PocGH01_02014000
PF3D7_0108400	PocGH01_02013800
PF3D7_0108600	PocGH01_02013600
PF3D7_0108800	PocGH01_02013400
PF3D7_0109000	PocGH01_02013300
PF3D7_0109100	PocGH01_12063300
PF3D7_0109200	PocGH01_02013100
PF3D7_0109300	PocGH01_02013000
PF3D7_0109400	PocGH01_02012900
PF3D7_0109500	PocGH01_02012800
PF3D7_0109600	PocGH01_02012700
PF3D7_0109700	PocGH01_02012600
PF3D7_0109800	PocGH01_02012500
PF3D7_0109850	PocGH01_02012400
PF3D7_0109950	PocGH01_02012300
PF3D7_0110000	PocGH01_02012200
PF3D7_0110100	PocGH01_02012100
PF3D7_0110200	PocGH01_02012000
PF3D7_0110400	PocGH01_02011900
PF3D7_0110600	PocGH01_02011700
PF3D7_0110700	PocGH01_13027000
PF3D7_0110800	PocGH01_02011500
PF3D7_0110900	PocGH01_02011400
PF3D7_0111000	PocGH01_02011300
PF3D7_0111200	PocGH01_02011200
PF3D7_0111300	PocGH01_02011100
PF3D7_0111400	PocGH01_02011000
PF3D7_0111500	PocGH01_02010900
PF3D7_0111600	PocGH01_02010800
PF3D7_0111700	PocGH01_02010700
PF3D7_0111800	PocGH01_02010600
PF3D7_0111900	PocGH01_02010500
PF3D7_0112000	PocGH01_02010400
PF3D7_0112100	PocGH01_02010300
PF3D7_0112800	PocGH01_00080700
PF3D7_0113100	PocGH01_00013500
PF3D7_0115000	PocGH01_00147200
PF3D7_0201800	PocGH01_00132800
PF3D7_0201900	PocGH01_06025800
PF3D7_0202100	PocGH01_05010800
PF3D7_0202700	PocGH01_04027100
PF3D7_0202800	PocGH01_04027000
PF3D7_0202900	PocGH01_04026900
PF3D7_0203000	PocGH01_11020800
PF3D7_0203100	PocGH01_04026700
PF3D7_0203200	PocGH01_04026600
PF3D7_0203300	PocGH01_04026500
PF3D7_0203400	PocGH01_04026400
PF3D7_0203600	PocGH01_04026200
PF3D7_0203700	PocGH01_04026100
PF3D7_0203800	PocGH01_04026000
PF3D7_0204000	PocGH01_04025800
PF3D7_0204100	PocGH01_04025700
PF3D7_0204200	PocGH01_04025600
PF3D7_0204300	PocGH01_04025500
PF3D7_0204400	PocGH01_04025400
PF3D7_0204500	PocGH01_04025300
PF3D7_0204600	PocGH01_04025200
PF3D7_0204700	PocGH01_04025100
PF3D7_0204800	PocGH01_04025000
PF3D7_0204900	PocGH01_04024900
PF3D7_0205200	PocGH01_04024600
PF3D7_0205400	PocGH01_04024400
PF3D7_0205500	PocGH01_04024300
PF3D7_0205600	PocGH01_04024200
PF3D7_0205700	PocGH01_04024100
PF3D7_0205800	PocGH01_04024000
PF3D7_0205900	PocGH01_04023900
PF3D7_0206000	PocGH01_04023800
PF3D7_0206100	PocGH01_04023700
PF3D7_0206200	PocGH01_04023600
PF3D7_0206600	PocGH01_04023300
PF3D7_0206700	PocGH01_04023200
PF3D7_0206900	PocGH01_04023100
PF3D7_0207000	PocGH01_04023000
PF3D7_0207100	PocGH01_04022900
PF3D7_0207200	PocGH01_04022800
PF3D7_0207400	PocGH01_04022500
PF3D7_0207600	PocGH01_04022100
PF3D7_0207700	PocGH01_04022200
PF3D7_0207800	PocGH01_04022600
PF3D7_0208000	PocGH01_04022700
PF3D7_0208100	PocGH01_04021900
PF3D7_0208200	PocGH01_04021800
PF3D7_0208300	PocGH01_04021700
PF3D7_0208400	PocGH01_04021600
PF3D7_0208500	PocGH01_04021500
PF3D7_0208700	PocGH01_04021300
PF3D7_0208800	PocGH01_04021200
PF3D7_0209000	PocGH01_04021000
PF3D7_0209100	PocGH01_04020900
PF3D7_0209200	PocGH01_04020800
PF3D7_0209300	PocGH01_04020700
PF3D7_0209400	PocGH01_04020600
PF3D7_0209600	PocGH01_04020400
PF3D7_0209700	PocGH01_04020300
PF3D7_0209800	PocGH01_04020200
